series_id,reference,percent_change_employment_previous,percent_change_imputed
CES1000000001,690,-0.13478260869565217,-0.1463768115942029
CES2000000001,7648,-0.0322960251046025,-0.04027196652719667
CES3000000001,12799,-0.045472302523634656,-0.043831549339792164
CES3100000001,8007,-0.05295366554265013,-0.050830523292119345
CES3200000001,4792,-0.03297161936560933,-0.03213689482470783
CES4000000001,27876,-0.030348687042617284,-0.028590902568517707
CES4200000001,15609.8,-0.02586195851324158,-0.023228997168445398
CES4300000001,5823.1,-0.02903951503494706,-0.028283903762600815
CES5000000001,2914,-0.0840768702814001,-0.08510638297872342
CES5500000001,8875,-0.011267605633802802,-0.01183098591549292
CES5552000001,6513.4,0.0038382411643689274,0.003623299659164303
CES5553000001,2361.6,-0.05280318428184272,-0.054623983739837345
CES6000000001,21469,-0.03884670920862643,-0.03591224556337047
CES6054000001,9708.7,-0.01580026162102044,-0.01345185246222469
CES6055000001,2425,-0.0377319587628866,-0.03847422680412382
CES6056000001,9334.8,-0.06303295196469128,-0.058597934610275515
CES6500000001,24565,-0.05463057195196419,-0.05283940565845713
CES6561000001,3778.7,-0.10252203138645555,-0.10315717045544759
CES6562000001,20786.5,-0.045914415606282954,-0.0437206840978519
CES7000000001,16915,-0.22500738989062963,-0.2040201005025125
CES7071000001,2501.9,-0.32267476717694554,-0.3094847915584157
CES7072000001,14412.9,-0.2080219803093062,-0.18570863601357124
CES8000000001,5937,-0.07680646791308743,-0.07512211554657233
CES9000000001,22835,-0.057061528355594526,-0.06082767681191159
CES9091000001,2863,0.0017464198393293273,6.985679357316421e-4
CES9092000001,5303,-0.06015462945502548,-0.06750895719404115
CES9093000001,14669,-0.06742109209898428,-0.07042061490217466
