lehd_name,lodes_var,industry_code,total_employment,unemployment_totals,percent_change_employment
"Agriculture, Forestry, Fishing, and Hunting",CNS01,11,124452,5485,-0.04407321698325459
"Mining, Quarrying, and Oil and Gas Extractions",CNS02,21,2150,498,-0.23162790697674418
Utilities,CNS03,22,19639,432,-0.021997046692805132
Construction,CNS04,23,213420,76895,-0.36029894105519633
Manufacturing,CNS05,31-33,308597,66542,-0.21562750123948063
Wholesale Trade,CNS06,42,134647,18121,-0.13458153542225226
Retail Trade,CNS07,44-45,387791,67796,-0.174826130570333
Transportation and Warehousing,CNS08,48-49,135169,14640,-0.10830885780023526
Information,CNS09,51,152215,5849,-0.03842591071839175
Finance and Insurance,CNS10,52,95425,3317,-0.034760282944720985
Real Estate and Rental and Leasing,CNS11,53,59452,8274,-0.13917109601022673
"Professional, Scientific, and Technical Services",CNS12,54,214193,15182,-0.07088000074698986
Management of Companies and Enterprises,CNS13,55,44988,614,-0.013648083933493376
Administrative and Support and Waste Management and Remediation Services,CNS14,56,180184,28042,-0.15562980064822626
Educational Services,CNS15,61,268051,16030,-0.05980205259446896
Health Care and Social Assistance,CNS16,62,491265,72273,-0.1471161185917987
"Arts, Entertainment, and Recreation",CNS17,71,81011,25846,-0.31904309291330807
Accomodation and Food Services,CNS18,72,295844,97566,-0.32978867240843146
Other Services,CNS19,81,103213,30781,-0.29822793640336004
Public Administration,CNS20,92,173852,4731,-0.027212801693394382
