series_id,reference,latest,percent_change_employment,lodes_var
CES1011330001,54.3,53.7,-0.011049723756905938,CNS01
CES1021000001,660.4,654.1,-0.00953967292549962,CNS02
CES4422000001,547.1,547.9,0.0014622555291536887,CNS03
CES2000000001,7634,7605,-0.003798794865077282,CNS04
CES3000000001,12857,12839,-0.00140001555572844,CNS05
CES4142000001,5935.6,5936.5,1.516274681581109e-4,CNS06
CES4200000001,15670.2,15624,-0.0029482712409542033,CNS07
CES4300000001,5677.3,5672.4,-8.630863262467647e-4,CNS08
CES5000000001,2897,2899,6.903693476010275e-4,CNS09
CES5552000001,6495,6497.5,3.8491147036179285e-4,CNS10
CES5553000001,2358.6,2355.2,-0.0014415331128635467,CNS11
CES6054000001,9705.6,9712.1,6.697164523574717e-4,CNS12
CES6055000001,2452.9,2455.6,0.0011007379020750996,CNS13
CES6056000001,9400.6,9339.5,-0.006499585132863861,CNS14
CES6561000001,3837.8,3822.6,-0.003960602428474735,CNS15
CES6562000001,20761.3,20700.1,-0.00294779228661024,CNS16
CES7071000001,2475.5,2462.3,-0.005332256109876754,CNS17
CES7072000001,14376.6,13930.3,-0.03104350124507893,CNS18
CES8000000001,5943,5919,-0.004038364462392696,CNS19
CES9000000001,22747,22759,5.275420934629516e-4,CNS20
