series_id,reference,percent_change_employment_previous,percent_change_imputed
CES1000000001,714,-0.009803921568627416,-0.0798319327731093
CES2000000001,7639,-0.004319937164550369,-0.13195444429899206
CES3000000001,12852,-0.002645502645502673,-0.1061313414254591
CES3100000001,8058,-0.0024820054604119957,-0.11590965500124095
CES3200000001,4794,-0.002920317062995448,-0.0896954526491448
CES4000000001,27830,-0.0019403521379806055,-0.11178584261588209
CES4200000001,15672,-0.0028586013272077215,-0.13729581419091375
CES4300000001,5678.1,-0.001268029798700443,-0.10413694721825961
CES5000000001,2894,-0.0013821700069108767,-0.08914996544574982
CES5500000001,8845,-3.3917467495758746e-4,-0.02996042962125489
CES5552000001,6486.4,7.091761223483317e-4,-0.00544215589541186
CES5553000001,2358.5,-0.003307186771252968,-0.09739241043035818
CES6000000001,21550,-0.003712296983758745,-0.10417633410672855
CES6054000001,9707.6,5.459639869791477e-4,-0.055719230293790445
CES6055000001,2447.3,0,-0.033465451722306194
CES6056000001,9395,-0.009089941458222395,-0.17262373602980308
CES6500000001,24586,-0.00410802895957052,-0.10758155047588058
CES6561000001,3828.5,-0.00963823951939402,-0.12903225806451613
CES6562000001,20757.7,-0.0030880107140965896,-0.1036241972858265
CES7000000001,16867,-0.02958439556530501,-0.48331060650975277
CES7071000001,2472.4,-0.010192525481313774,-0.5452192201909076
CES7072000001,14394.1,-0.03289542243002341,-0.472679778520366
CES8000000001,5941,-0.006396229590977964,-0.21965998990069013
CES9000000001,22745,-0.0012310397889646607,-0.0443174324027259
CES9091000001,2867,0.00662713637949075,0.006975933031042825
CES9092000001,5199,-0.008847855356799439,-0.04346989805731871
CES9093000001,14679,-6.81245316438428e-5,-0.0546358743783637
