series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3231130001,81.4,-0.0626535626535627,-0.061747437245806225
CES3231140001,174,-0.04999999999999993,-0.04909387459224346
CES3231150001,155.7,-0.030828516377649273,-0.029922390969892798
CES3231160001,535.5,0.00466853408029877,0.005574659488055245
CES3231181101,86.1,-0.1324041811846689,-0.13149805577691243
CES3232910001,287.4,-0.07828810020876831,-0.07086924394910843
CES3232990001,37.9,-0.04749340369393129,-0.04007454743427141
CES3232210001,95.5,-0.04502617801047115,-0.03650032542521264
CES3232221001,150.1,-0.020652898067954673,-0.012127045482696164
CES3232411001,68.4,-0.042397660818713545,-0.04414744209605381
CES3232419001,45.6,-0.15131578947368418,-0.15306557075102445
CES3232520001,94.2,-0.043524416135881205,-0.04622680128451229
CES3232530001,37.3,0.018766756032171594,0.016064370883540513
CES3232540001,308.2,0.00454250486696961,0.0018401197183385287
CES3232550001,65.1,-0.05069124423963134,-0.05339362938826242
CES3232560001,111.2,-0.003597122302158362,-0.006299507450789443
CES3232610001,608.3,-0.03337169159953968,-0.0314955189916597
CES3232621001,58.8,0.018707482993197244,0.020583655601077222
CES3232629001,78.9,-0.043092522179974724,-0.041216349572094746
CES3132710001,40.7,-0.10073710073710074,-0.08804913081228871
CES3132720001,84.8,-0.08962264150943389,-0.07693467158462186
CES3133130001,57.8,-0.06228373702422141,-0.0636252986018978
CES3133140001,61.2,-0.09150326797385622,-0.09284482955153261
CES3133150001,115.9,-0.13718723037100955,-0.13852879194868595
CES3133210001,100.3,-0.07976071784646066,-0.07342605917673894
CES3133220001,34.4,-0.1133720930232558,-0.10703743435353408
CES3133270001,358,-0.07206703910614531,-0.0657323804364236
CES3133280001,140.3,-0.09337134711332862,-0.0870366884436069
CES3133299401,45.4,0.006607929515418665,0.01294258818514038
CES3133311001,75.9,-0.015810276679841917,-0.004998491834360297
CES3133330001,95.4,-0.0660377358490567,-0.05522595100357508
CES3133350001,176.8,-0.0667420814479639,-0.05593029660248228
CES3133360001,97.7,-0.08904810644831118,-0.07823632160282956
CES3133520001,61.8,-0.04854368932038833,-0.04186878202743416
CES3133641901,88.1,0.017026106696935273,0.019780137335526193
CES3133690001,60.8,-0.008223684210526327,-0.005469653571935407
CES3133660001,142.9,-0.05948215535339396,-0.05672812471480304
CES3132110001,92.9,-0.03336921420882677,-0.023140280940438962
CES3132120001,84.2,-0.08551068883610458,-0.07528175556771677
CES3132199001,69,0.011594202898550732,0.02182313616693854
