series_id,reference,percent_change_employment_previous,percent_change_imputed
CES1000000001,714,-0.08683473389355745,-0.11484593837535018
CES2000000001,7639,-0.13876161801282894,-0.07802068333551515
CES3000000001,12852,-0.10659819483348898,-0.08909119203236848
CES3100000001,8058,-0.11590965500124095,-0.10114172251178954
CES3200000001,4794,-0.0909470171047142,-0.06883604505632035
CES4000000001,27830,-0.11972691340280273,-0.10650377290693491
CES4200000001,15672,-0.15130168453292503,-0.12783307810107192
CES4300000001,5678.1,-0.09918810869833228,-0.10253429844490247
CES5000000001,2894,-0.0960608154803041,-0.10919143054595715
CES5500000001,8845,-0.031882419446014665,-0.02815149802148109
CES5552000001,6486.4,-0.007107178095707822,-0.005812160828810975
CES5553000001,2358.5,-0.09985160059359766,-0.08963324146703422
CES6000000001,21550,-0.10593967517401393,-0.100046403712297
CES6054000001,9707.6,-0.056512423256005584,-0.052412542750010394
CES6055000001,2447.3,-0.03820536918236428,-0.047113145098680254
CES6056000001,9395,-0.17464608834486428,-0.16301224055348584
CES6500000001,24586,-0.11258439762466443,-0.09533881070527939
CES6561000001,3828.5,-0.13193156588742327,-0.12320752252840528
CES6562000001,20757.7,-0.10901978542902147,-0.09019785429021521
CES7000000001,16867,-0.49101796407185627,-0.4175609177684235
CES7071000001,2472.4,-0.5329639216955185,-0.5258857790001619
CES7072000001,14394.1,-0.4838301804211448,-0.39890649641172427
CES8000000001,5941,-0.22942265611849855,-0.18363911799360377
CES9000000001,22745,-0.04308639261376124,-0.06880633106177181
CES9091000001,2867,0.006975933031042825,0.002092779909312892
CES9092000001,5199,-0.03923831506058861,-0.05539526832083097
CES9093000001,14679,-0.054227127188500535,-0.08740377409905309
