series_id,reference,percent_change_imputed
CES3231130001,81.4,-0.05336091635475482
CES3231140001,174,-0.05902896685039127
CES3231150001,155.7,-0.053416936641988766
CES3231160001,535.5,-0.05063848422055783
CES3231181101,86.1,-0.0614239366128968
CES3232910001,287.4,-0.17875296185273482
CES3232990001,37.9,-0.19873008364156874
CES3232210001,95.5,-0.025693616482067028
CES3232221001,150.1,-0.0198873651522381
CES3232411001,68.4,-0.0819634387806788
CES3232419001,45.6,-0.08050145047658519
CES3232520001,94.2,-0.026986806882363656
CES3232530001,37.3,-0.03385998186229899
CES3232540001,308.2,-0.03621648237639696
CES3232550001,65.1,-0.07494340476704842
CES3232560001,111.2,-0.03744022758529175
CES3232610001,608.3,-0.08794246815240936
CES3232621001,58.8,-0.07077127286186535
CES3232629001,78.9,-0.09665006544353671
CES3132710001,40.7,-0.16439286176128276
CES3132720001,84.8,-0.14709533267130082
CES3133130001,57.8,-0.08684081280991707
CES3133140001,61.2,-0.09366511115670673
CES3133150001,115.9,-0.09720800084637615
CES3133210001,100.3,-0.07125889667072649
CES3133220001,34.4,-0.08197384484944603
CES3133270001,358,-0.07800151796884325
CES3133280001,140.3,-0.08180601511581898
CES3133299401,45.4,-0.07545555778869417
CES3133311001,75.9,-0.07426312071462238
CES3133330001,95.4,-0.06219411233716454
CES3133350001,176.8,-0.07275929632077249
CES3133360001,97.7,-0.07572224041503084
CES3133520001,61.8,-0.04494901612522517
CES3133641901,88.1,-0.2371832690554686
CES3133690001,60.8,-0.24336830101675666
CES3133660001,142.9,-0.2438229343635948
CES3132110001,92.9,-0.06364363736651524
CES3132120001,84.2,-0.07507523316206066
CES3132199001,69,-0.06215224097644301
CES3133910001,330.7,-0.15332950828481928
CES3133992001,43.5,-0.14347093590786908
CES4142310001,363.2,-0.05523293584092259
CES4142320001,115.2,-0.06438002345717331
CES4142330001,247.3,-0.05177443869732257
CES4142340001,696.4,-0.0582971528208851
CES4142350001,136.6,-0.05816764343439795
CES4142360001,358.5,-0.05631981890115301
CES4142370001,289.5,-0.05709015586937827
CES4142380001,720.5,-0.058129541538752494
CES4142393001,102.4,-0.068177766512729
CES4142410001,126.2,-0.07034635904780251
CES4142430001,153.9,-0.07576645092214429
CES4142440001,801.5,-0.08007148813915577
CES4142450001,69.5,-0.05214184183748227
CES4142470001,101.1,-0.07390389806786868
CES4142480001,204.2,-0.05817486067216937
CES4142491001,120.3,-0.06547541438094362
CES4244314101,48.2,-0.07403491832631592
CES4244314201,427.8,-0.06351501431098316
CES4244413001,158.3,-0.03772366778523395
CES4244420001,156.4,-0.05175946694930611
CES4244511001,2538.5,-0.013473173282889994
CES4244512001,163.1,-0.02278816508238446
CES4244520001,226.3,-0.024638635679002707
CES4244530001,161.8,-0.012973306338895596
CES4244611001,698.6,-0.09239829262336718
CES4244810001,969.1,-0.5909660963457438
CES4244820001,195,-0.5819387408030647
CES4244830001,125.7,-0.5864623317705698
CES4245113001,36.5,-0.3390438366130648
CES4245114001,33,-0.3453950196765766
CES4245120001,79.3,-0.4119661534608252
CES4245310001,56.9,-0.3308253764505976
CES4245321001,92.6,-0.32635768465680215
CES4245330001,180.4,-0.32425532512937816
CES4245322001,135.2,-0.35754098880903795
CES4245390001,354.5,-0.32514099214735115
CES4245410001,373.9,-0.05851339060955174
CES4245420001,41.6,-0.0659923802612482
CES4245431001,70.7,-0.06585297758471675
CES4245439001,65.7,-0.0633470518453717
CES4348530001,70.5,-0.4341237743558828
CES4422110001,381.7,-0.0055188775894728925
CES4422120001,110.9,-0.0015342830190764323
CES4422130001,53.4,-0.00791550847103073
CES5051111001,121.4,-0.02797385481075776
CES5051120001,486.3,-0.013776782542976429
CES5051913001,287.6,0.009755758719314667
