state,unemployment_totals,total_employment,percent_change_employment
Alabama,445711,1989525,-0.22402885110767645
Alaska,80136,338048,-0.23705509276789094
Arkansas,190257,1222788,-0.15559279286352173
Arizona,517194,2913448,-0.1775195575826306
California,3990711,17713110,-0.2252970257622744
Colorado,367133,2748976,-0.13355263923730146
Connecticut,297856,1676589,-0.17765594310829905
Delaware,85598,453232,-0.18886133370988809
District of Columbia,81114,776375,-0.10447786185799388
Florida,1766065,8838211,-0.19982154759600104
Georgia,1596125,4509747,-0.35392783675004386
Hawaii,210430,654125,-0.3216969233709153
Idaho,125006,765221,-0.16335934324855172
Illinois,893744,6023136,-0.14838516015577266
Indiana,612001,3083498,-0.19847621110829325
Iowa,283815,1556866,-0.18229892617604854
Kansas,230432,1395918,-0.16507559899650265
Kentucky,671288,1910810,-0.3513107006976099
Louisiana,560313,1913503,-0.29282054953663517
Maine,125232,632610,-0.19796082894674444
Maryland,452380,2696895,-0.1677410503560576
Massachusetts,781110,3642465,-0.2144454373617866
Michigan,1330765,4375754,-0.30412244381196935
Minnesota,598819,2917769,-0.20523180553361148
Mississippi,220763,1135814,-0.19436545068118546
Missouri,504424,2826539,-0.1784599469527928
Montana,94122,478910,-0.19653379549393415
North Carolina,833728,4501302,-0.1852192987717776
North Dakota,61135,428359,-0.14271907442122145
Nebraska,110764,984671,-0.11248833366677805
New Hampshire,172481,667909,-0.2582402692582373
New Jersey,977969,4103998,-0.23829665608998835
New Mexico,133644,842145,-0.15869476159093743
Nevada,414938,1412241,-0.29381529073295565
New York,1805585,9575356,-0.18856583504571528
Ohio,1120580,5443327,-0.20586306867105356
Oklahoma,352118,1628836,-0.21617768762478237
Oregon,326532,1970702,-0.16569324027681506
Pennsylvania,1713729,5947879,-0.2881243885425376
Rhode Island,154670,491335,-0.31479540435751574
South Carolina,461568,2132383,-0.21645642457288394
South Dakota,37645,433446,-0.08685049579417044
Tennessee,462000,3060789,-0.15094147293393959
Texas,1803059,12603160,-0.14306404108176043
Utah,146221,1535227,-0.09524389552815317
Vermont,60027,311033,-0.19299238344484348
Virginia,627117,3931376,-0.15951590486384412
Washington,960612,3489774,-0.27526481657551466
West Virginia,137066,694441,-0.19737601898505416
Wisconsin,480666,2893841,-0.16609965785957143
Wyoming,32290,283113,-0.11405339917276847
