state,puma,led_code,total_employed_pre,total_unemployed_post,percent_change_imputed,state_imputation
01,00100,11,700,-8.083386014956437,0.011547694307080624,0
01,00100,21,0,0,0,0
01,00100,22,366,-16.998589801745993,0.04644423443099998,0
01,00100,23,3528,-169.43110888340047,0.04802469072658744,0
01,00100,31,2151,-23.64958019094107,0.010994690930237597,0
01,00100,32,1898,17.90033870801598,-0.009431158434149621,0
01,00100,33,4507,157.31227068709995,-0.03490398728358109,0
01,00100,42,1316,-27.755472137937836,0.02109078429934486,0
01,00100,44,4890,-108.84907846789237,0.022259525249057745,0
01,00100,45,3096,-172.81704964747343,0.05581946048045007,0
01,00100,48,861,-19.37891111382935,0.022507446125237342,0
01,00100,49,263,-27.94644336649062,0.10626024093722669,0
01,00100,51,485,39.19828316278773,-0.08082120239750047,0
01,00100,52,1040,-6.336292985145319,0.006092589408793576,0
01,00100,53,616,3.375313892661712,-0.0054794056699053765,0
01,00100,54,1436,4.622783045759678,-0.0032192082491362657,0
01,00100,56,2338,-219.22881325397378,0.0937676703395953,0
01,00100,61,3777,152.82561061353925,-0.04046216855005011,0
01,00100,62,6335,357.9714688434648,-0.05650694062248852,0
01,00100,71,1036,173.00185412305817,-0.16699020668248857,0
01,00100,72,5399,387.56450373866414,-0.07178449782157142,0
01,00100,81,3081,13.236352479259704,-0.004296122193852549,0
01,00100,92,1625,21.46422756357739,-0.013208755423739931,0
01,00200,11,677,-1.5599516870968562,0.002304212240911161,0
01,00200,21,0,0,0,0
01,00200,22,29,-1.3768576976146925,0.04747785164188595,0
01,00200,23,3880,-186.33580001915925,0.04802469072658744,0
01,00200,31,226,5.808410991507415,-0.025700933590740774,0
01,00200,32,641,5.631176826932773,-0.008784987249505105,0
01,00200,33,4208,116.56284566642285,-0.02770029602338946,0
01,00200,42,658,-15.04583703527007,0.02286601373141348,0
01,00200,44,5045,-193.0283806233912,0.03826132420681689,0
01,00200,45,2606,-89.63163058234107,0.03439433253351538,0
01,00200,48,1313,-6.782179145269713,0.00516540681284822,0
01,00200,49,201,-24.268211391160392,0.12073737010527558,0
01,00200,51,778,42.852571813976745,-0.05508042649611407,0
01,00200,52,798,-5.517834738770078,0.006914579873145461,0
01,00200,53,706,2.3640433805180834,-0.003348503371838645,0
01,00200,54,2630,26.875534516715543,-0.010218834417002108,0
01,00200,56,2722,-258.1332330164609,0.09483219434844266,0
01,00200,61,3677,177.32095568712722,-0.04822435563968649,0
01,00200,62,6920,487.43493038486446,-0.07043857375503822,0
01,00200,71,933,143.49906539770316,-0.15380392861490158,0
01,00200,72,4716,373.8262013908483,-0.07926764236447166,0
01,00200,81,3367,77.01099533204255,-0.022872288485905126,0
01,00200,92,1616,-1.326367918353619,8.207722267039721e-4,0
01,00200,55,20,2.9392078849303793,-0.14696039424651897,0
01,00301,11,227,-0.7799758435484281,0.003436016931931401,0
01,00301,22,113,-5.729963949252285,0.0507076455686043,0
