state,industry,reference,percent_change_state_imputed
01,10113300,54.5,0.08691683615657564
01,10211000,156.6,0.14546253782154328
01,10212100,50.4,0.06874296110196665
01,10212200,40.8,0.16643203673221874
01,10212300,97.4,0.12393998857825483
01,10213000,314.5,-0.09643229819093968
01,10210000,659.7,0.022401550504075662
01,20000000,7639,-0.0021293498474523886
01,30000000,12852,-0.029513028377627704
01,31327100,40.7,-0.04479146036687198
01,31327200,84.8,-0.09343025782642411
01,31331300,57.8,-0.030910427251001127
01,31331400,61.2,-0.05936102317564562
01,31331500,115.9,-0.1395039230160534
01,31332100,100.3,-0.08755403180592325
01,31332200,34.4,-0.10097307699593472
01,31332700,358,-0.05737167385185271
01,31332800,140.3,-0.06654933385416217
01,31332994,45.4,0.0012961577136237912
01,31333110,75.9,0.004114952893366053
01,31333300,95.4,-0.03958289515230817
01,31333500,176.8,-0.07395946629358507
01,31333600,97.7,-0.04236920244219777
01,31335200,61.8,-0.05018798013086767
01,31336419,88.1,0.029350490174242516
01,31336900,60.8,-0.023859827049008464
01,31336600,142.9,-0.04925714206503018
01,31321100,92.9,-0.013546270781788605
01,31321200,84.2,-0.057374206216667334
01,31321990,69,0.022721494151675903
01,31339100,330.7,-0.011396106226041924
01,31339920,43.5,0.013458173619218528
01,31327300,201.9,-0.03578975299963705
01,31327900,98.1,-0.02785292049255217
01,31331100,83.5,-0.04048504963253574
01,31331200,54.8,-0.06083996024925842
01,31332300,404.6,-0.02040254508960182
01,31332400,95.3,-0.012458227926899434
01,31332600,67.7,-0.052735297462425
01,31332900,283.4,-0.04592310243454567
01,31333120,69.2,-0.04472098121524959
01,31333130,69.6,-0.15213078787261447
01,31335100,47,-0.07107898061286189
01,31335300,145.7,-0.05385180147765245
01,31335900,149.5,-0.011938583544620074
01,31336100,243.1,-0.20692695342108847
01,31336200,168,-0.03708037842745471
01,31336300,587.7,-0.03157556547624063
01,31336411,245.1,-0.039083205261982834
01,31336412,91.2,-0.13899140599637694
01,31336413,115.7,-0.06546299768086039
01,31321900,233.6,-0.03154691958666045
01,31339900,292.2,-0.052198320515644325
01,31334100,169.3,0.020687941820180966
01,31334500,433.1,0.0012122815880298843
01,31337000,386.4,-0.0656717978948067
01,31321000,410.6,-0.03667973557929416
01,31327000,425.6,-0.04700079974726401
01,31331000,372.7,-0.07703368565804292
01,31332000,1483.9,-0.047752619276882013
01,31333000,1109.9,-0.048537655841459304
01,31334000,1098.2,0.006125907592018365
01,31335000,404.5,-0.04515519763939846
01,31336000,1742.9,-0.06484585004154064
01,31339000,622.9,-0.030857347220458076
01,31334200,84.6,-0.006496724843693014
01,31334400,378,0.0015354714863757835
01,31334600,33.2,0.08039694914303397
01,32311300,81.4,-0.02150623559668008
01,32311400,174,-0.023658230852123596
01,32311500,155.7,0.025228886282950502
01,32311600,535.5,0.056872372193692344
