lehd_name,lodes_var,industry_code,total_employment,unemployment_totals,percent_change_employment
"Agriculture, Forestry, Fishing, and Hunting",CNS01,11,124452,6034,-0.04848455629479639
"Mining, Quarrying, and Oil and Gas Extractions",CNS02,21,2150,526,-0.24465116279069768
Utilities,CNS03,22,19639,510,-0.02596873567900606
Construction,CNS04,23,213420,81658,-0.3826164370724393
Manufacturing,CNS05,31-33,308597,73888,-0.23943201003250195
Wholesale Trade,CNS06,42,134647,20591,-0.1529257985695931
Retail Trade,CNS07,44-45,387791,76606,-0.19754455363842896
Transportation and Warehousing,CNS08,48-49,135169,16824,-0.12446640871797528
Information,CNS09,51,152215,6448,-0.04236113392241238
Finance and Insurance,CNS10,52,95425,3801,-0.03983232905423107
Real Estate and Rental and Leasing,CNS11,53,59452,9217,-0.15503263136648052
"Professional, Scientific, and Technical Services",CNS12,54,214193,17232,-0.08045080838309375
Management of Companies and Enterprises,CNS13,55,44988,817,-0.018160398328443142
Administrative and Support and Waste Management and Remediation Services,CNS14,56,180184,31455,-0.17457154908315944
Educational Services,CNS15,61,268051,17651,-0.06584940925420908
Health Care and Social Assistance,CNS16,62,491265,80549,-0.16396242353923035
"Arts, Entertainment, and Recreation",CNS17,71,81011,29106,-0.35928454160546097
Accomodation and Food Services,CNS18,72,295844,101587,-0.34338029502034856
Other Services,CNS19,81,103213,33500,-0.3245715171538469
Public Administration,CNS20,92,173852,6017,-0.03460989807422405
