county_fips,should_be_2016,state_fips,state_abbv,state_name
04015,0,04,AZ,Arizona
12035,0,12,FL,Florida
20129,0,20,KS,Kansas
28093,0,28,MS,Mississippi
29510,0,29,MO,Missouri
35031,0,35,NM,New Mexico
37187,0,37,NC,North Carolina
38013,0,38,ND,North Dakota
51700,0,51,VA,Virginia
20109,0,20,KS,Kansas
13243,0,13,GA,Georgia
17081,0,17,IL,Illinois
19081,0,19,IA,Iowa
19197,0,19,IA,Iowa
18101,0,18,IN,Indiana
19073,0,19,IA,Iowa
28111,0,28,MS,Mississippi
29185,0,29,MO,Missouri
31151,0,31,NE,Nebraska
38003,0,38,ND,North Dakota
46085,1,46,SD,South Dakota
46129,1,46,SD,South Dakota
48383,0,48,TX,Texas
48497,0,48,TX,Texas
49051,0,49,UT,Utah
53037,0,53,WA,Washington
55035,0,55,WI,Wisconsin
55113,0,55,WI,Wisconsin
20069,0,20,KS,Kansas
17159,0,17,IL,Illinois
27001,0,27,MN,Minnesota
06083,0,06,CA,California
13115,0,13,GA,Georgia
20121,0,20,KS,Kansas
26005,0,26,MI,Michigan
26149,0,26,MI,Michigan
31157,0,31,NE,Nebraska
42049,0,42,PA,Pennsylvania
01045,0,01,AL,Alabama
05123,0,05,AR,Arkansas
12043,0,12,FL,Florida
17117,0,17,IL,Illinois
18081,0,18,IN,Indiana
18009,0,18,IN,Indiana
28137,0,28,MS,Mississippi
29135,0,29,MO,Missouri
31023,0,31,NE,Nebraska
46107,1,46,SD,South Dakota
46087,1,46,SD,South Dakota
48127,0,48,TX,Texas
53001,0,53,WA,Washington
54091,0,54,WV,West Virginia
22061,0,22,LA,Louisiana
19035,0,19,IA,Iowa
19031,0,19,IA,Iowa
48129,0,48,TX,Texas
48461,0,48,TX,Texas
12115,0,12,FL,Florida
17177,0,17,IL,Illinois
27105,0,27,MN,Minnesota
29113,0,29,MO,Missouri
31095,0,31,NE,Nebraska
37185,0,37,NC,North Carolina
39161,0,39,OH,Ohio
48067,0,48,TX,Texas
55101,0,55,WI,Wisconsin
21005,0,21,KY,Kentucky
