state,industry,reference,percent_change_state_imputed
01,10113300,54.5,0.05589134736463397
01,10211000,156.6,0.14660806851476216
01,10212100,50.4,0.004435107376283942
01,10212200,40.8,0.1250000000000001
01,10212300,97.4,0.10383701735314232
01,10213000,314.5,-0.12946475887652364
01,10210000,659.7,-0.0035176417087982026
01,20000000,7639,0.04894104103421926
01,30000000,12852,-0.023019218769886995
01,31327100,40.7,-0.05639640398374379
01,31327200,84.8,-0.05275146401804898
01,31331300,57.8,-0.01949560711497611
01,31331400,61.2,-0.06765016305499927
01,31331500,115.9,-0.10220919805812911
01,31332100,100.3,-0.04806908943311894
01,31332200,34.4,-0.05850870083148196
01,31332700,358,-0.04029381191372172
01,31332800,140.3,-0.07963867149235826
01,31332994,45.4,0.08376668078925376
01,31333110,75.9,0.058110728277999124
01,31333300,95.4,-0.04056677688022803
01,31333500,176.8,-0.03385059258357759
01,31333600,97.7,-0.05114659058280879
01,31335200,61.8,-0.008516929754091795
01,31336419,88.1,0.05274707640692178
01,31336900,60.8,0.03861652798706394
01,31336600,142.9,0.02766504369550915
01,31321100,92.9,0.011890458595644415
01,31321200,84.2,-0.04118042445741754
01,31321990,69,0.05300526179684273
01,31339100,330.7,0.016825720812603362
01,31339920,43.5,0.034061886521705276
01,31327300,201.9,3.3735260142442325e-4
01,31327900,98.1,-0.0032039287729198618
01,31331100,83.5,-0.04397398599734981
01,31331200,54.8,-0.045680791364717255
01,31332300,404.6,3.0309848029208553e-5
01,31332400,95.3,-0.010124162409363313
01,31332600,67.7,-0.006749915492606617
01,31332900,283.4,-0.0365781564452089
01,31333120,69.2,-0.03471372129437722
01,31333130,69.6,-0.1521477788320822
01,31335100,47,-0.07504588382694177
01,31335300,145.7,-0.06420168341513666
01,31335900,149.5,-0.01037641823240687
01,31336100,243.1,-0.19996909304824761
01,31336200,168,0.02895174101964526
01,31336300,587.7,-0.015379368146839045
01,31336411,245.1,-0.05928993876120214
01,31336412,91.2,-0.10995803341644494
01,31336413,115.7,-0.07728411114317324
01,31321900,233.6,0.003868871088087422
01,31339900,292.2,-0.026170830795200883
01,31334100,169.3,0.032411071027954486
01,31334500,433.1,0.01988908465599326
01,31337000,386.4,-0.043968161935936445
01,31321000,410.6,8.228775870965377e-4
01,31327000,425.6,-0.019763628864126637
01,31331000,372.7,-0.05393335355148221
01,31332000,1483.9,-0.027030916802281757
01,31333000,1109.9,-0.01959571087110823
01,31334000,1098.2,0.022035288845372203
01,31335000,404.5,-0.03793676566162085
01,31336000,1742.9,-0.041843273583820784
01,31339000,622.9,-0.003825414810771921
01,31334200,84.6,0.004043673078673926
01,31334400,378,0.016556337718997893
01,31334600,33.2,0.1053496060303386
01,32311300,81.4,-0.02491622022944373
