series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3231130001,81.4,-0.0012285012285013774,-0.05336091635475482
CES3231140001,174,-0.006896551724137834,-0.05902896685039127
CES3231150001,155.7,-0.0012845215157353262,-0.053416936641988766
CES3231160001,535.5,0.0014939309056956063,-0.05063848422055783
CES3231181101,86.1,-0.009291521486643362,-0.0614239366128968
CES3232910001,287.4,-0.009046624913013113,-0.17875296185273482
CES3232990001,37.9,-0.029023746701847042,-0.19873008364156874
CES3232210001,95.5,-0.003141361256544517,-0.025693616482067028
CES3232221001,150.1,0.0026648900732844094,-0.0198873651522381
CES3232411001,68.4,-0.005847953216374324,-0.0819634387806788
CES3232419001,45.6,-0.004385964912280715,-0.08050145047658519
CES3232520001,94.2,0.009554140127388422,-0.026986806882363656
CES3232530001,37.3,0.002680965147453085,-0.03385998186229899
CES3232540001,308.2,3.244646333551149e-4,-0.03621648237639696
CES3232550001,65.1,-0.03840245775729634,-0.07494340476704842
CES3232560001,111.2,-8.992805755396738e-4,-0.03744022758529175
CES3232610001,608.3,-1.643925694556625e-4,-0.08794246815240936
CES3232621001,58.8,0.017006802721088343,-0.07077127286186535
CES3232629001,78.9,-0.008871989860583018,-0.09665006544353671
CES3132710001,40.7,-0.019656019656019708,-0.16439286176128276
CES3132720001,84.8,-0.002358490566037763,-0.14709533267130082
CES3133130001,57.8,0.00519031141868509,-0.08684081280991707
CES3133140001,61.2,-0.0016339869281045694,-0.09366511115670673
CES3133150001,115.9,-0.0051768766177739955,-0.09720800084637615
CES3133210001,100.3,0.001994017946161497,-0.07125889667072649
CES3133220001,34.4,-0.008720930232558044,-0.08197384484944603
CES3133270001,358,-0.004748603351955261,-0.07800151796884325
CES3133280001,140.3,-0.008553100498930988,-0.08180601511581898
CES3133299401,45.4,-0.0022026431718061845,-0.07545555778869417
CES3133311001,75.9,-0.0026350461133070047,-0.07426312071462238
CES3133330001,95.4,0.00943396226415083,-0.06219411233716454
CES3133350001,176.8,-0.0011312217194571206,-0.07275929632077249
CES3133360001,97.7,-0.004094165813715467,-0.07572224041503084
CES3133520001,61.8,0.006472491909385258,-0.04494901612522517
CES3133641901,88.1,0.004540295119182858,-0.2371832690554686
CES3133690001,60.8,-0.0016447368421051989,-0.24336830101675666
CES3133660001,142.9,-0.0020993701889433503,-0.2438229343635948
