IND,state,led_code,percent_change_state_imputed
0270,01,11,-0.12999479664063185
0370,01,21,-0.04071127067140001
0380,01,21,-0.1640854548287929
0390,01,21,-0.01949009546263547
0470,01,21,-0.044784434476667134
0490,01,21,-0.186051709077511
0770,01,23,-0.07435118916538208
1080,01,31,-0.0326903740126856
1090,01,31,-0.021656039922173353
1170,01,31,-0.019194230053816708
1180,01,31,-0.006751492610971965
1190,01,31,-0.017811726318681775
1370,01,31,0.03134060223121993
1390,01,31,-0.008463694956451384
1470,01,31,-0.07510690442477475
1480,01,31,-0.07510690442477475
1490,01,31,-0.07510690442477475
1570,01,31,-0.04773219822321284
1590,01,31,-0.04773219822321284
1670,01,31,-0.11552467406522415
1691,01,31,-0.11552467406522415
1870,01,32,-0.07792428082569436
1880,01,32,0.007136987346658463
1990,01,32,-0.10649625328626411
2070,01,32,-0.11048389745904308
2090,01,32,-0.13481856694001104
2170,01,32,-0.04392568825571208
2180,01,32,0.06484020709554916
2190,01,32,0.05242577659286263
2270,01,32,-0.011100863887861245
2280,01,32,0.01775318295762629
2370,01,32,-0.011358163824797263
2380,01,32,0.05214659405779265
2390,01,32,0.005101634747969208
2470,01,32,-0.0300183886254497
2480,01,32,-0.0300183886254497
2490,01,32,-0.01724209430709911
2680,01,33,0.01802346845562386
2690,01,33,-0.04470730119906219
2770,01,33,-0.0491595278763306
2780,01,33,-0.012272384952404014
2790,01,33,0.017896780580118787
2880,01,33,-0.011463858780520586
2890,01,33,-0.05323961336141425
2970,01,33,0.21936391809376787
3070,01,33,0.14578316138767822
3095,01,33,-0.03993315648255813
3170,01,33,-0.03441218905737409
3180,01,33,-0.04780878261725641
3365,01,33,0.06727297024108825
3380,01,33,0.04598795514164011
3470,01,33,0.11939016875642128
3590,01,33,0.09379000869257181
3670,01,33,0.09116446296494773
3680,01,33,0.043489670160474114
3690,01,33,0.09116446296494773
3770,01,32,0.046228241034597106
3780,01,32,-0.01449243303186365
3790,01,32,0.16400215054571998
3895,01,33,-0.016651933574469036
3960,01,33,0.06049156229150576
3970,01,33,0.18421075197465264
4070,01,42,-0.058760788166375644
4080,01,42,-0.032066223648763215
4090,01,42,0.05966663784768378
4170,01,42,0.01656876373168481
4180,01,42,-0.03218962346803389
4195,01,42,-0.019252253847967693
4265,01,42,0.014703063743393141
4270,01,42,-0.03273051820032491
4280,01,42,-0.0653205990002399
4370,01,42,-0.005071815046450934
4390,01,42,-0.10173562667270875
4470,01,42,-0.017025452520951112
4480,01,42,0.024417611288401142
4490,01,42,0.03714443206891338
4560,01,42,-0.01394802707723719
4570,01,42,0.03407505029737612
4670,01,44,-0.03707475644128255
4680,01,44,0.020150535961725113
4690,01,44,0.0020697311478434788
4770,01,44,-0.042991554611109706
4780,01,44,0.038933953635014396
4795,01,44,-0.10866101149765606
4880,01,44,0.03156878322453238
4890,01,44,0.0973571025627955
4971,01,44,0.02436956735508722
4972,01,44,0.013279905176500906
4980,01,44,-0.03525114006394836
4990,01,44,-0.002061341827337748
5070,01,44,0.03873555202720247
5090,01,44,0.014222429180092755
5170,01,44,-0.1506702926394381
5180,01,44,-0.264082867772821
5190,01,44,-0.11542187650539482
5280,01,45,0.04913509905814584
5295,01,45,-0.0990567660836722
5370,01,45,-0.43424195126885745
5381,01,45,-0.004836820974908007
5391,01,45,0.06150253686000995
5470,01,45,-0.04871047878957402
5480,01,45,-0.15667764116088145
5490,01,45,-0.0914193375176221
5570,01,45,-0.0859960704793109
5580,01,45,0.08905821395417268
5593,01,45,0.12307234170962555
5670,01,45,-0.12936873629989132
5680,01,45,-0.006781523988376836
5690,01,45,-0.022155400613453002
6070,01,48,-0.12116919464799114
6080,01,48,-0.06455478187500063
6090,01,48,-0.08229698080144798
6170,01,48,0.012924741942673568
6190,01,48,-0.20309119930124409
6270,01,48,-0.004419430251832779
6280,01,48,-0.11031943911236797
6290,01,48,-0.02728739743232711
6370,01,49,0.016811886603979254
6380,01,49,0.17457598659921092
