state,industry,reference,percent_change_state_imputed
01,10113300,54.5,0.06419705496877648
01,10211000,156.6,0.1449392017343336
01,10212100,50.4,-0.012605042016806678
01,10212200,40.8,0.12780112044817937
01,10212300,97.4,0.10047797353027443
01,10213000,314.5,-0.12570974335680218
01,10210000,659.7,-0.0037482023277707333
01,20000000,7639,-0.0037873232355556397
01,30000000,12852,-0.020316257685605188
01,31327100,40.7,-0.056847261640653346
01,31327200,84.8,-0.054578590739906896
01,31331300,57.8,-0.013427370683323114
01,31331400,61.2,-0.04601099236729078
01,31331500,115.9,-0.10386597215040327
01,31332100,100.3,-0.0478691511551671
01,31332200,34.4,-0.04842272299777883
01,31332700,358,-0.036466766131467265
01,31332800,140.3,-0.06390656990391042
01,31332994,45.4,0.08654039553515835
01,31333110,75.9,0.06089181481040451
01,31333300,95.4,-0.035689254289122396
01,31333500,176.8,-0.031069506051172202
01,31333600,97.7,-0.04836550405040341
01,31335200,61.8,-0.01488676588344795
01,31336419,88.1,0.04327139364080579
01,31336900,60.8,0.016492613546415402
01,31336600,142.9,0.002358695826994328
01,31321100,92.9,0.01375646604651759
01,31321200,84.2,-0.023577116151795363
01,31321990,69,0.06203340400380397
01,31339100,330.7,0.01625551893812338
01,31339920,43.5,0.04129540298763179
01,31327300,201.9,-0.004036920568796787
01,31327900,98.1,-0.013665631303059644
01,31331100,83.5,-0.035508468004252225
01,31331200,54.8,-0.022216803158760623
01,31332300,404.6,0.0030076302652772835
01,31332400,95.3,-0.0029451613198463455
01,31332600,67.7,-0.02911301189201143
01,31332900,283.4,-0.028340580902622037
01,31333120,69.2,-0.026152287941162422
01,31333130,69.6,-0.13643565781691813
01,31335100,47,-0.07119744549509854
01,31335300,145.7,-0.048754068693451114
01,31335900,149.5,-0.004642261548610138
01,31336100,243.1,-0.1826078216221313
01,31336200,168,0.015960032092781185
01,31336300,587.7,-0.02445873112460384
01,31336411,245.1,-0.037260956425024916
01,31336412,91.2,-0.11837580750621624
01,31336413,115.7,-0.06974447875217904
01,31321900,233.6,0.005784644821751006
01,31339900,292.2,-0.034389649763200136
01,31334100,169.3,0.03811553305323212
01,31334500,433.1,0.02086820704748482
01,31337000,386.4,-0.05515260062104932
01,31321000,410.6,9.717776718998206e-5
01,31327000,425.6,-0.024423604216995964
01,31331000,372.7,-0.05295423115999065
01,31332000,1483.9,-0.025714844481549703
01,31333000,1109.9,-0.018976981307799234
01,31334000,1098.2,0.025017689328285853
01,31335000,404.5,-0.0322604862861986
01,31336000,1742.9,-0.04717547140576661
01,31339000,622.9,-0.007823014204478507
01,31334200,84.6,0.008568894760945578
01,31334400,378,0.021503714078743408
01,31334600,33.2,0.09428053565074568
01,32311300,81.4,-0.029402312128057217
01,32311400,174,-0.017144129180218903
01,32311500,155.7,-0.006288815026120664
01,32311600,535.5,0.029349640741542782
01,32311811,86.1,-0.0820666330850609
01,32329100,287.4,-0.037493007871478023
01,32329900,37.9,-0.016092883381693346
01,32322100,95.5,-0.025788164520785695
01,32322210,150.1,0.008578453196547597
01,32324110,68.4,-0.001536422014370653
01,32324190,45.6,-0.1126475331254817
01,32325200,94.2,-0.03089419636405788
01,32325300,37.3,0.02860786131938342
01,32325400,308.2,0.030384152958286448
01,32325500,65.1,-0.028981411525445866
01,32325600,111.2,0.012454564118002387
01,32326100,608.3,-0.0026875529376064744
01,32326210,58.8,0.04846202081594553
01,32326290,78.9,-0.013771237506394973
01,32311100,63.7,0.05379634249916898
01,32311200,60,0.022108744382999368
01,32311800,314.9,-0.025288842152408675
01,32311700,34.9,-0.06458180002960812
01,32311900,234.1,-0.006210350021101374
01,32322220,55.7,0.008466020671013985
01,32322290,61.8,0.011147398602954106
01,32325100,153.4,0.017378916682886603
01,32325900,81.6,-0.05395995132846387
01,32313000,106.5,-0.062082583358731736
01,32314000,111.3,-0.05031132688909645
01,32315000,105,-0.15187466920715575
01,32323000,417.2,-0.09648317032572395
01,32311000,1655.4,0.0020392747684047086
01,32322000,363.6,-2.8893920558414887e-4
01,32324000,114.3,-0.053626950172035004
01,32325000,851.1,0.006091660080992378
01,32326000,746.2,-4.907685549624397e-4
01,41423100,363.2,-0.032261390009649005
01,41423200,115.2,-0.028360876059575713
01,41423300,247.3,0.04051211895322937
01,41423400,696.4,0.009949242646149048
01,41423500,136.6,-0.04988051978822372
01,41423600,358.5,0.0077357069250827415
01,41423700,289.5,0.020376170572548702
01,41423800,720.5,-0.020954271849536354
01,41423930,102.4,-0.08142077189290897
01,41424100,126.2,0.019724817157334207
01,41424300,153.9,-0.103938437945852
