"STATE ","Advance ","Prior Wk ",
"Alabama ","28,183 ","74,966 ",
"Alaska ","9,404 ","10,313 ",
"Arizona ","42,909 ","52,581 ",
"Arkansas ","12,436 ","17,671 ",
"California ","318,064 ","325,343 ",
"Colorado ","28,322 ","38,662 ",
"Connecticut ","36,166 ","33,041 ",
"Delaware ","6,183 ","7,947 ",
"District of Columbia ","8,133 ","8,708 ",
"Florida ","173,191 ","433,103 ",
"Georgia ","226,884 ","266,565 ",
"Hawaii ","16,112 ","22,495 ",
"Idaho ","7,194 ","8,827 ",
"Illinois ","74,476 ","81,596 ",
"Indiana ","43,777 ","55,774 ",
"Iowa ","24,693 ","27,220 ",
"Kansas ","18,281 ","24,483 ",
"Kentucky ","80,060 ","91,223 ",
"Louisiana ","52,137 ","66,141 ",
"Maine ","16,175 ","7,661 ",
"Maryland ","65,262 ","37,925 ",
"Massachusetts ","55,448 ","71,358 ",
"Michigan * ","68,952 ","82,004 ",
"Minnesota ","47,134 ","48,595 ",
"Mississippi ","24,810 ","29,906 ",
"Missouri ","49,402 ","55,299 ",
"Montana ","4,263 ","7,052 ",
"Nebraska ","6,555 ","8,229 ",
"Nevada ","30,735 ","42,541 ",
"New Hampshire ","11,834 ","15,001 ",
"New Jersey ","87,540 ","71,966 ",
"New Mexico ","16,801 ","12,093 ",
"New York ","195,242 ","219,413 ",
"North Carolina ","84,716 ","98,941 ",
"North Dakota ","4,689 ","6,274 ",
"Ohio ","61,046 ","93,599 ",
"Oklahoma ","68,237 ","52,500 ",
"Oregon ","45,102 ","49,300 ",
"Pennsylvania* ","96,603 ","127,896 ",
"Puerto Rico ","21,673 ","17,286 ",
"Rhode Island ","9,109 ","13,084 ",
"South Carolina ","46,747 ","66,438 ",
"South Dakota ","3,756 ","5,535 ",
"Tennessee ","37,319 ","42,805 ",
"Texas ","247,179 ","254,084 ",
"Utah ","9,057 ","11,738 ",
"Vermont ","3,759 ","5,117 ",
"Virgin Islands ","11 ","103 ",
"Virginia ","61,138 ","72,488 ",
"Washington ","109,167 ","139,505 ",
"West Virginia ","12,996 ","29,818 ",
"Wisconsin ","38,002 ","49,993 ",
"Wyoming ","2,026 ","3,497 ",
"US Total ","2,849,090 ","3,495,703 ",





