state,puma,led_code,total_employed_pre,total_unemployed_post,percent_change_imputed,state_imputation
01,00100,11,700,-1.7386018023282523,0.0024837168604689317,0
01,00100,21,0,0,0,0
01,00100,22,366,-2.545533839467422,0.006955010490348148,0
01,00100,23,3528,33.42315789473718,-0.009473684210526412,0
01,00100,31,2151,16.083680489170415,-0.007477303807145707,0
01,00100,32,1898,-5.603509601421618,0.0029523232884202414,0
01,00100,33,4507,84.57402252307183,-0.018765037169530027,0
01,00100,42,1316,28.226507581231512,-0.02144871396750115,0
01,00100,44,4890,82.36444284158529,-0.01684344434388247,0
01,00100,45,3096,-7.438654492587093,0.002402666179776193,0
01,00100,48,861,0.28645585446486765,-3.3270134084189044e-4,0
01,00100,49,263,-24.039636720234782,0.09140546281458092,0
01,00100,51,485,49.42598461726523,-0.10190924663353655,0
01,00100,52,1040,1.9237904279940485,-0.0018497984884558159,0
01,00100,53,616,19.814517773812153,-0.03216642495748726,0
01,00100,54,1436,-7.832141225810037,0.005454137343878856,0
01,00100,56,2338,21.878968773696688,-0.009357984933146574,0
01,00100,61,3777,279.76115649378585,-0.0740696734164114,0
01,00100,62,6335,320.06840585090345,-0.05052382097093977,0
01,00100,71,1036,19.23769053022032,-0.018569199353494516,0
01,00100,72,5399,484.48547127789845,-0.08973614952359668,0
01,00100,81,3081,174.6614053677488,-0.05668984270293697,0
01,00100,92,1625,38.85065996548997,-0.02390809844030152,0
01,00200,11,677,-0.33551964606334694,4.955977046725952e-4,0
01,00200,21,0,0,0,0
01,00200,22,29,-0.21098662453076467,0.007275400845888437,0
01,00200,23,3880,36.75789473684248,-0.009473684210526412,0
01,00200,31,226,6.801266968585922,-0.030094101630911158,0
01,00200,32,641,3.6516968095809323,-0.005696874897942172,0
01,00200,33,4208,21.66476688851861,-0.0051484712187544225,0
01,00200,42,658,13.990459210787858,-0.02126209606502714,0
01,00200,44,5045,5.9206741137538845,-0.0011735726687321871,0
01,00200,45,2606,21.430789060427145,-0.008223633561176955,0
01,00200,48,1313,29.38526911300042,-0.02238025065727374,0
01,00200,49,201,-23.987769430133802,0.11934213646832738,0
01,00200,51,778,57.772491352281435,-0.07425770096694272,0
01,00200,52,798,-3.7572201913601857,0.004708295979148102,0
01,00200,53,706,16.376901644300542,-0.023196744538669323,0
01,00200,54,2630,0.04964523628421724,-1.8876515697421005e-5,0
01,00200,56,2722,22.153511524431472,-0.00813868902440539,0
01,00200,61,3677,269.0568122927911,-0.07317291604372889,0
01,00200,62,6920,384.0718069365356,-0.05550170620470168,0
01,00200,71,933,22.350569166687162,-0.0239555939621513,0
01,00200,72,4716,447.6499336021408,-0.09492152960181102,0
01,00200,81,3367,209.7247683167421,-0.06228831847839088,0
01,00200,92,1616,27.598500369274152,-0.01707827993148153,0
01,00200,55,20,0.3188433492582332,-0.01594216746291166,0
01,00301,11,227,-0.16775982303167347,7.390300574082532e-4,0
01,00301,22,113,-0.7479246805191402,0.006618802482470267,0
01,00301,23,1199,11.358947368421168,-0.009473684210526412,0
01,00301,31,237,12.059294314558171,-0.05088309837366317,0
01,00301,32,318,13.676176094979803,-0.04300684306597422,0
01,00301,33,2069,-32.09124900302778,0.01551051184293271,0
01,00301,42,300,5.7802021922698685,-0.019267340640899563,0
01,00301,44,3448,40.02219705563241,-0.011607365735392231,0
01,00301,45,2539,23.28339367635161,-0.00917030077839764,0
01,00301,48,640,11.240056105975933,-0.017562587665587395,0
01,00301,49,287,-38.30375634832763,0.13346256567361545,0
01,00301,51,988,64.5150401096377,-0.06529862359275071,0
01,00301,52,436,-5.167687593903403,0.011852494481429823,0
01,00301,53,375,7.814761916583476,-0.02083936511088927,0
01,00301,54,1776,-4.356286933548829,0.002452864264385602,0
01,00301,56,1737,50.70297543254706,-0.02918996858523147,0
01,00301,61,3976,331.75859900462774,-0.08344029150015789,0
01,00301,62,5719,343.37541760528393,-0.06004116412052526,0
01,00301,71,869,12.190020604784221,-0.014027641662582533,0
01,00301,72,4319,407.5921613395727,-0.09437188269033868,0
01,00301,81,1677,130.68334229398678,-0.0779268588515127,0
01,00301,92,932,18.297110631836254,-0.019632092952614005,0
01,00301,55,0,0,0,0
01,00302,11,71,0,-0,0
01,00302,22,59,-0.38654811663400634,0.006551662993796717,0
01,00302,23,1526,14.456842105263304,-0.009473684210526412,0
01,00302,31,408,9.427439811160832,-0.023106470125394196,0
01,00302,32,357,10.636907864429384,-0.029795260124452057,0
01,00302,33,1545,-19.655679263445755,0.01272212250061214,0
01,00302,42,257,3.2905853716832865,-0.012803834131063372,0
01,00302,44,2332,-3.3240974613711964,0.001425427727860719,0
01,00302,45,1714,-45.86421635298055,0.026758585970233693,0
01,00302,48,300,26.416955997144242,-0.08805651999048081,0
01,00302,49,58,-4.620062739842874,0.07965625413522197,0
01,00302,51,600,93.00862657521462,-0.1550143776253577,0
01,00302,52,779,-12.514045150705599,0.01606424281220231,0
01,00302,53,473,9.7110694950148,-0.02053080231504186,0
01,00302,54,1430,-11.593089108636299,0.008107055320724685,0
01,00302,56,1955,1.9942973140505496,-0.0010201009279030943,0
01,00302,61,2132,176.2075773104068,-0.08264895746266736,0
01,00302,62,3701,173.65544418302565,-0.04692122242178483,0
01,00302,71,742,0.531879914973239,-7.168192924167642e-4,0
01,00302,72,3397,293.63161292525695,-0.086438508367753,0
01,00302,81,1587,83.01834983311169,-0.05231149957978052,0
01,00302,92,657,15.801884405224795,-0.02405157443717625,0
01,00400,11,1108,-2.6841571685067755,0.0024225245203129742,0
01,00400,21,5,-0.5432167300755475,0.1086433460151095,0
