cbsa,cbsa_name,xmin,ymin,xmax,ymax,under_40_index_perc,total_index_perc
13820,"Birmingham-Hoover, AL (Metro)",NA,NA,NA,NA,0.09732179434013227,0.08123674269096079
45180,"Talladega-Sylacauga, AL (Micro)",NA,NA,NA,NA,0.09193348566713783,0.08332502428393075
46220,"Tuscaloosa, AL (Metro)",NA,NA,NA,NA,0.09834867207371058,0.08511870848556286
26620,"Huntsville, AL (Metro)",NA,NA,NA,NA,0.09925085689752136,0.08128919820337929
10700,"Albertville, AL (Micro)",NA,NA,NA,NA,0.09133546932524861,0.08187926400887803
33660,"Mobile, AL (Metro)",NA,NA,NA,NA,0.10018123264752775,0.08843215603718373
19300,"Daphne-Fairhope-Foley, AL (Metro)",NA,NA,NA,NA,0.10668198239408766,0.09206757920030985
11500,"Anniston-Oxford-Jacksonville, AL (Metro)",NA,NA,NA,NA,0.09396759613675172,0.08355943018443392
21460,"Enterprise, AL (Micro)",NA,NA,NA,NA,0.09327947024307912,0.08170152889789338
22520,"Florence-Muscle Shoals, AL (Metro)",NA,NA,NA,NA,0.0949443763250294,0.08533254318376139
42820,"Selma, AL (Micro)",NA,NA,NA,NA,0.08843019673562749,0.08154673035912624
12120,"Atmore, AL (Micro)",NA,NA,NA,NA,0.09627885157625851,0.08575217639926982
23460,"Gadsden, AL (Metro)",NA,NA,NA,NA,0.09232061049093343,0.08317067305136784
20020,"Dothan, AL (Metro)",NA,NA,NA,NA,0.09365201229380324,0.0828161650023906
42460,"Scottsboro, AL (Micro)",NA,NA,NA,NA,0.0881399440187064,0.07986467251519451
19460,"Decatur, AL (Metro)",NA,NA,NA,NA,0.09566534738129075,0.08406855584904559
12220,"Auburn-Opelika, AL (Metro)",NA,NA,NA,NA,0.09803422922141486,0.08343934120629892
33860,"Montgomery, AL (Metro)",NA,NA,NA,NA,0.09455464342838342,0.08159634588537586
17980,"Columbus, GA-AL (Metro)",NA,NA,NA,NA,0.0944445427390289,0.08321054636946411
21640,"Eufaula, AL-GA (Micro)",NA,NA,NA,NA,0.08746603762678679,0.08000145089987806
46740,"Valley, AL (Micro)",NA,NA,NA,NA,0.08804657090898747,0.08092691812477633
18980,"Cullman, AL (Micro)",NA,NA,NA,NA,0.09270014336453988,0.08223034583848764
37120,"Ozark, AL (Micro)",NA,NA,NA,NA,0.0950994886390952,0.0841979330027021
22840,"Fort Payne, AL (Micro)",NA,NA,NA,NA,0.0858897092946828,0.0794505141751619
10760,"Alexander City, AL (Micro)",NA,NA,NA,NA,0.08988175367239383,0.08193977373833813
45980,"Troy, AL (Micro)",NA,NA,NA,NA,0.09019463679459025,0.07871405070337277
11260,"Anchorage, AK (Metro)",NA,NA,NA,NA,0.10003087666910619,0.08500599328567109
21820,"Fairbanks, AK (Metro)",NA,NA,NA,NA,0.09821929333245176,0.08355127593331022
27940,"Juneau, AK (Micro)",NA,NA,NA,NA,0.09294534170564865,0.07305381353161707
28540,"Ketchikan, AK (Micro)",NA,NA,NA,NA,0.08103094147725086,0.06308099376150017
38060,"Phoenix-Mesa-Scottsdale, AZ (Metro)",NA,NA,NA,NA,0.09876134048038557,0.08418065308628837
