series_id,reference,percent_change_employment_previous,percent_change_imputed
CES3231130001,81.4,-0.055282555282555323,-0.05171846201204666
CES3231140001,174,-0.04597701149425293,-0.04241291822374427
CES3231150001,155.7,-0.03339755940912004,-0.029833466138611375
CES3231160001,535.5,0.001680672268907557,0.0052447655394162185
CES3231181101,86.1,-0.10917537746806028,-0.10561128419755161
CES3232910001,287.4,-0.07237299930410568,-0.06186295293625399
CES3232990001,37.9,-0.04485488126649062,-0.03434483489863893
CES3232210001,95.5,-0.04502617801047115,-0.04942661805447557
CES3232221001,150.1,-0.01065956029313786,-0.015060000337142276
CES3232411001,68.4,-0.04385964912280704,-0.02723672698807389
CES3232419001,45.6,-0.1557017543859649,-0.13907883225123174
CES3232520001,94.2,-0.05307855626326963,-0.053666031295580785
CES3232530001,37.3,0.00536193029490617,0.004774455262595012
CES3232540001,308.2,0.007138221933809197,0.006550746901498039
CES3232550001,65.1,-0.055299539170506784,-0.05588701420281794
CES3232560001,111.2,-0.010791366906474864,-0.011378841938786022
CES3232610001,608.3,-0.030905803057701742,-0.027287470171076134
CES3232621001,58.8,0.022108843537415046,0.025727176424040654
CES3232629001,78.9,-0.04689480354879594,-0.04327647066217033
CES3132710001,40.7,-0.08599508599508598,-0.0876398228371913
CES3132720001,84.8,-0.08372641509433953,-0.08537115193644484
CES3133130001,57.8,-0.06055363321799312,-0.047674642072299545
CES3133140001,61.2,-0.09477124183006547,-0.08189225068437189
CES3133150001,115.9,-0.1285591026747196,-0.11568011152902602
CES3133210001,100.3,-0.0847457627118644,-0.08184799332039605
CES3133220001,34.4,-0.08720930232558144,-0.08431153293411309
CES3133270001,358,-0.07067039106145256,-0.06777262166998421
CES3133280001,140.3,-0.10121168923734869,-0.09831391984588034
CES3133299401,45.4,0.04625550660792954,0.049153275999397894
CES3133311001,75.9,0.026350461133069825,0.029053407344440174
CES3133330001,95.4,-0.07023060796645708,-0.06752766175508673
CES3133350001,176.8,-0.06561085972850689,-0.06290791351713654
CES3133360001,97.7,-0.08290685772773809,-0.08020391151636774
CES3133520001,61.8,-0.04045307443365698,-0.044408575051703925
CES3133641901,88.1,0.014755959137344066,0.012403557966880974
CES3133690001,60.8,-0.019736842105263053,-0.022089243275726145
CES3133660001,142.9,-0.02729181245626311,-0.0296442136267262
CES3132110001,92.9,-0.026910656620021567,-0.015951085261034725
CES3132120001,84.2,-0.06888361045130642,-0.05792403909231958
CES3132199001,69,0.023188405797101463,0.034147977156088305
CES3133910001,330.7,-0.018748110069549462,-0.013450309459499765
CES3133992001,43.5,0.006896551724137945,0.012194352334187641
CES4142310001,363.2,-0.07626651982378851,-0.07561454838634674
CES4142320001,115.2,-0.07378472222222221,-0.07313275078478043
CES4142330001,247.3,-0.004043671653861658,-0.0033917002164198795
CES4142340001,696.4,-0.03460654796094198,-0.0339545765235002
CES4142350001,136.6,-0.09297218155197651,-0.09232021011453473
