series_id,reference,latest,job_change,led_variable
CES1011330001,54.5,54.5,0,01
CES1021000001,662,662,0,02
CES4422000001,547.4,547.4,0,03
CES2000000001,7646,7646,0,04
CES3000000001,12861,12861,0,05
CES4142000001,5936.2,5936.2,0,06
CES4200000001,15659.4,15659.4,0,07
CES4300000001,5681.7,5681.7,0,08
CES5000000001,2898,2898,0,09
CES5552000001,6488.9,6488.9,0,10
CES5553000001,2361.5,2361.5,0,11
CES6054000001,9717.3,9717.3,0,12
CES6055000001,2447.8,2447.8,0,13
CES6056000001,9404.1,9404.1,0,14
CES6561000001,3838.1,3838.1,0,15
CES6562000001,20753.3,20753.3,0,16
CES7071000001,2493.9,2493.9,0,17
CES7072000001,14379.3,14379.3,0,18
CES8000000001,5939,5939,0,19
CES9000000001,22775,22775,0,20
