state,2020-03-21,2020-03-28,2020-04-04,2020-04-11,2020-04-18,2020-04-25,2020-05-02
Alabama,10892,80984,106739,77515,66432,74966,28183
Alaska,7847,13774,14590,12007,12201,10313,9404
Arkansas,9275,27756,62086,35629,25404,17671,12436
Arizona,29348,88940,132428,98531,72457,52581,42909
California,186333,1058325,918814,655472,528360,325343,318064
Colorado,19774,61838,46326,104572,67639,38662,28322
Connecticut,25100,33227,33464,34050,102808,33041,36166
Delaware,10776,19137,18851,13258,9446,7947,6183
District of Columbia,14462,15869,15329,9974,8639,8708,8133
Florida,74313,228484,169885,180419,506670,433103,173191
Georgia,12140,133820,390132,319581,247003,266565,226884
Hawaii,8817,48596,53102,34717,26591,22495,16112
Idaho,13586,32941,30904,18531,13023,8827,7194
Illinois,114114,178421,201041,141160,102936,81596,74476
Indiana,59755,139174,127010,113755,72756,55774,43777
Iowa,40952,55966,64194,43889,26901,27220,24693
Kansas,23563,54330,49306,29873,30596,24483,18281
Kentucky,49023,113149,117575,116277,103981,91223,80060
Louisiana,72438,97400,100621,79653,91923,66141,52137
Maine,21459,23770,30910,13488,11769,7661,16175
Maryland,42981,85317,109496,62904,48495,37925,65262
Massachusetts,148452,181423,139647,103813,80969,71358,55448
Michigan,128006,304335,388554,222207,136707,82004,68952
Minnesota,115773,109095,110260,93133,74829,48595,47134
Mississippi,5519,32015,45852,45748,36913,29906,24810
Missouri,42246,104291,91458,102126,59602,55299,49402
Montana,15349,20763,21244,14275,11176,7052,4263
North Carolina,94083,172145,137422,140155,106266,98941,84716
North Dakota,5662,11818,15125,9502,8065,6274,4689
Nebraska,15700,24725,27054,16279,12222,8229,6555
New Hampshire,29379,31378,39202,25273,20414,15001,11834
New Jersey,115815,206253,214836,141420,140139,71966,87540
New Mexico,18105,27849,26132,19043,13621,12093,16801
Nevada,92298,71942,79285,58641,39496,42541,30735
New York,79999,366595,344451,394701,205184,219413,195242
Ohio,196309,274288,226191,159317,109830,93599,61046
Oklahoma,21926,47744,60534,54481,46696,52500,68237
Oregon,30054,47498,62788,54581,37209,49300,45102
Pennsylvania,377451,404677,277640,234868,194594,127896,96603
Puerto Rico,20148,45394,66555,42074,26481,17286,21673
Rhode Island,35847,27800,28243,22509,18078,13084,9109
South Carolina,31826,66475,86573,89147,74362,66438,46747
South Dakota,1761,6801,8138,6359,5295,5535,3756
Tennessee,38077,92500,112186,71887,67226,42805,37319
Texas,155426,276185,315167,274257,280761,254084,247179
Utah,19690,28532,33040,24515,19649,11738,9057
Vermont,3784,14633,16474,9662,6598,5117,3759
Virgin Islands,123,250,72,6,13,103,11
Virginia,46277,112497,147369,104619,82729,72488,61138
Washington,129909,182849,171252,144455,83475,139505,109167
West Virginia,3536,14523,14494,14944,46755,29818,12996
Wisconsin,51031,110934,104823,70000,55883,49993,38002
Wyoming,3653,6396,6543,5794,4381,3497,2026
