IND,naics,ces_code,led_code,formula_type,operator,series_id,recency,parent,parent_series_id
0170,111,NA,11,single,NA,NA,NA,NA,NA
0180,112,NA,11,single,NA,NA,NA,NA,NA
0190,"1131, 1132",NA,11,single,NA,NA,NA,NA,NA
0270,1133,10113300,11,single,NA,CES1011330001,0,NA,NA
0280,114,NA,11,single,NA,NA,NA,NA,NA
0290,115,NA,11,single,NA,NA,NA,NA,NA
0370,211,10211000,21,single,NA,CES1021100001,0,NA,NA
0380,2121,10212100,21,single,NA,CES1021210001,0,NA,NA
0390,2122,10212200,21,single,NA,CES1021220001,0,NA,NA
0470,2123,10212300,21,single,NA,CES1021230001,0,NA,NA
0490,213,10213000,21,single,NA,CES1021300001,0,NA,NA
0770,23,20000000,23,single,NA,CES2000000001,0,NA,NA
0770,23,20000000,23,single,NA,CES2000000001,0,NA,NA
1080,3113,32311300,31,single,NA,CES3231130001,1,32311000,CES3231100001
1090,3114,32311400,31,single,NA,CES3231140001,1,32311000,CES3231100001
1170,3115,32311500,31,single,NA,CES3231150001,1,32311000,CES3231100001
1180,3116,32311600,31,single,NA,CES3231160001,1,32311000,CES3231100001
1190,311811,32311811,31,single,NA,CES3231181101,1,32311000,CES3231100001
1370,3121,32329100,31,single,NA,CES3232910001,1,32329000,CES3232900001
1390,3122,32329900,31,single,NA,CES3232990001,1,32329000,CES3232900001
1470,3131,32313000,31,single,NA,CES3231300001,0,NA,NA
1480,3132 exc. 31324,32313000,31,single,NA,CES3231300001,0,NA,NA
1490,3133,32313000,31,single,NA,CES3231300001,0,NA,NA
1570,31411,32314000,31,single,NA,CES3231400001,0,NA,NA
1590,314 exc. 31411,32314000,31,single,NA,CES3231400001,0,NA,NA
1670,"31324, 3151",32315000,31,single,NA,CES3231500001,0,NA,NA
1691,"3152, 3159",32315000,31,single,NA,CES3231500001,0,NA,NA
1870,3221,32322100,32,single,NA,CES3232210001,1,32322000,CES3232200001
1880,32221,32322210,32,single,NA,CES3232221001,1,32322000,CES3232200001
1990,3231,32323000,32,single,NA,CES3232300001,0,NA,NA
2070,32411,32324110,32,single,NA,CES3232411001,1,32324000,CES3232400001
2090,"32412, 32419",32324190,32,single,NA,CES3232419001,1,32324000,CES3232400001
2170,3252,32325200,32,single,NA,CES3232520001,1,32325000,CES3232500001
2180,3253,32325300,32,single,NA,CES3232530001,1,32325000,CES3232500001
2190,3254,32325400,32,single,NA,CES3232540001,1,32325000,CES3232500001
2270,3255,32325500,32,single,NA,CES3232550001,1,32325000,CES3232500001
2280,3256,32325600,32,single,NA,CES3232560001,1,32325000,CES3232500001
2370,3261,32326100,32,single,NA,CES3232610001,1,32326000,CES3232600001
2380,32621,32326210,32,single,NA,CES3232621001,1,32326000,CES3232600001
2390,"32622, 32629",32326290,32,single,NA,CES3232629001,1,32326000,CES3232600001
2470,32711,31327100,32,single,NA,CES3132710001,1,31327000,CES3132700001
2480,327120,31327100,32,single,NA,CES3132710001,1,31327000,CES3132700001
2490,3272,31327200,32,single,NA,CES3132720001,1,31327000,CES3132700001
2680,3313,31331300,33,single,NA,CES3133130001,1,31331000,CES3133100001
2690,3314,31331400,33,single,NA,CES3133140001,1,31331000,CES3133100001
2770,3315,31331500,33,single,NA,CES3133150001,1,31331000,CES3133100001
2780,3321,31332100,33,single,NA,CES3133210001,1,31332000,CES3133200001
2790,3322,31332200,33,single,NA,CES3133220001,1,31332000,CES3133200001
2880,3327,31332700,33,single,NA,CES3133270001,1,31332000,CES3133200001
2890,3328,31332800,33,single,NA,CES3133280001,1,31332000,CES3133200001
2970,"332992, 332993, 332994, 332996",31332994,33,single,NA,CES3133299401,1,31332000,CES3133200001
3070,33311,31333110,33,single,NA,CES3133311001,1,31333000,CES3133300001
3095,3333,31333300,33,single,NA,CES3133330001,1,31333000,CES3133300001
3170,3335,31333500,33,single,NA,CES3133350001,1,31333000,CES3133300001
3180,3336,31333600,33,single,NA,CES3133360001,1,31333000,CES3133300001
3365,3341,31334100,33,single,NA,CES3133410001,0,NA,NA
3380,3345,31334500,33,single,NA,CES3133450001,0,NA,NA
3470,3352,31335200,33,single,NA,CES3133520001,1,31335000,CES3133500001
3590,"336414, 336415, 336419",31336419,33,single,NA,CES3133641901,1,31336000,CES3133600001
3670,3365,31336900,33,single,NA,CES3133690001,1,31336000,CES3133600001
3680,3366,31336600,33,single,NA,CES3133660001,1,31336000,CES3133600001
3690,3369,31336900,33,single,NA,CES3133690001,1,31336000,CES3133600001
3770,3211,31321100,32,single,NA,CES3132110001,1,31321000,CES3132100001
3780,3212,31321200,32,single,NA,CES3132120001,1,31321000,CES3132100001
