"naics_code","lodes_var"
"11","01"
"21","02"
"22","03"
"23","04"
"31","05"
"32","05"
"33","05"
"42","06"
"44","07"
"45","07"
"48","08"
"49","08"
"51","09"
"52","10"
"53","11"
"54","12"
"55","13"
"56","14"
"61","15"
"62","16"
"71","17"
"72","18"
"81","19"
"92","20"
